[B62] delta check: {'diagnostics_rank': 3000, 'here_rank': 3000, 'diagnostics_dim_h0': 1800, 'here_dim_h0': 1800, 'agrees': True, 'columns': 4800, 'delta_rows': 3861, 'gram_rows': 6654}
[B62] joint columns: aud-diff median 0.5307 | exposure 9.05/32
[B62] pencil: {'columns': 4800, 'gram_rank': 3000, 'dim_ker_gram': 1800, 'gram_sigma_max': 1.4607353650051318, 'gram_sigma_at_rank': 0.06055383542761963, 'delta_on_ker_gram_sigma_max': 1.748603989308328e-15, 'q_min': 0.0022235829768972957, 'q_max': 1.9974730135655514, 'q_quantiles': {'p01': 0.01947765546586035, 'p10': 0.14618390524605646, 'median': 1.0, 'p90': 1.8524527522727614, 'p99': 1.980342198261356}, 'q_below_0.25': 441, 'q_below_1': 1531}
  low_q                  r=1  q[0.0022,0.0022] ER  1.0000/ 1.0000 | N@0.05  1.0000 N@0.1  1.0000 N@0.25  1.0000 | cen N@0.05  1.0000 N@0.1  1.0000 N@0.25  1.0000 | q_w  0.0022 | unseen 0
  low_q                  r=2  q[0.0022,0.0040] ER  1.9422/ 1.9429 | N@0.05  1.9422 N@0.1  1.9422 N@0.25  1.9422 | cen N@0.05  1.9429 N@0.1  1.9429 N@0.25  1.9429 | q_w  0.0033 | unseen 0
  low_q                  r=4  q[0.0022,0.0056] ER  3.4905/ 3.4906 | N@0.05  3.4905 N@0.1  3.4905 N@0.25  3.4905 | cen N@0.05  3.4906 N@0.1  3.4906 N@0.25  3.4906 | q_w  0.0040 | unseen 0
  low_q                  r=8  q[0.0022,0.0092] ER  6.6410/ 6.6396 | N@0.05  6.6410 N@0.1  6.6410 N@0.25  6.6410 | cen N@0.05  6.6396 N@0.1  6.6396 N@0.25  6.6396 | q_w  0.0061 | unseen 0
  mid_q                  r=1  q[1.0000,1.0000] ER  1.0000/ 1.0000 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0000 | unseen 0
  mid_q                  r=2  q[1.0000,1.0000] ER  1.9951/ 1.9951 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0000 | unseen 0
  mid_q                  r=4  q[1.0000,1.0000] ER  3.9731/ 3.9741 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0000 | unseen 0
  mid_q                  r=8  q[1.0000,1.0000] ER  7.8336/ 7.8337 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0000 | unseen 0
  high_q                 r=1  q[1.9905,1.9905] ER  1.0000/ 1.0000 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.9905 | unseen 0
  high_q                 r=2  q[1.9905,1.9914] ER  1.9885/ 1.9884 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.9909 | unseen 0
  high_q                 r=4  q[1.9905,1.9932] ER  3.8845/ 3.8846 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.9920 | unseen 0
