[B62] delta check: {'diagnostics_rank': 3000, 'here_rank': 3000, 'diagnostics_dim_h0': 1800, 'here_dim_h0': 1800, 'agrees': True, 'columns': 4800, 'delta_rows': 3861, 'gram_rows': 6654}
[B62] joint columns: aud-diff median 0.5307 | exposure 9.05/32
[B62] subspaces: {'columns': 4800, 'delta_rank': 3000, 'dim_h0': 1800, 'gram_rank': 3000, 'dim_ker_gram': 1800, 'h0_visible_sigma_top': 7.144369517199458e-15, 'h0_visible_sigma_at_8': 5.007111197355331e-15}
  agreeing           r=1  ER  1.0000/ 1.0000 | N@0.05  0.0000 N@0.1  1.0000 N@0.25  1.0000 | cen N@0.05  0.0000 N@0.1  1.0000 N@0.25  1.0000 | q_w  0.0592/ 0.0592 | unseen 0
  agreeing           r=2  ER  1.9975/ 1.9975 | N@0.05  0.0000 N@0.1  1.0000 N@0.25  1.9975 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  1.9975 | q_w  0.0911/ 0.1850 | unseen 0
  agreeing           r=4  ER  3.9641/ 3.9638 | N@0.05  0.0000 N@0.1  1.0000 N@0.25  3.9641 | cen N@0.05  0.0000 N@0.1  1.0000 N@0.25  3.9638 | q_w  0.1218/ 0.1362 | unseen 0
  agreeing           r=8  ER  7.9304/ 7.9337 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  7.9304 | cen N@0.05  0.0000 N@0.1  1.0000 N@0.25  7.9337 | q_w  0.1730/ 0.1269 | unseen 0
  generic            r=1  ER  1.0000/ 1.0000 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0162/ 1.0162 | unseen 0
  generic            r=2  ER  1.9977/ 1.9977 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0244/ 1.0244 | unseen 0
  generic            r=4  ER  3.9864/ 3.9865 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0150/ 1.0150 | unseen 0
  generic            r=8  ER  7.9141/ 7.9143 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.0130/ 1.0130 | unseen 0
  disagreeing        r=1  ER  1.0000/ 1.0000 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.8923/ 1.8923 | unseen 0
  disagreeing        r=2  ER  1.9872/ 1.9872 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.8470/ 1.8471 | unseen 0
  disagreeing        r=4  ER  3.9872/ 3.9870 | N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | cen N@0.05  0.0000 N@0.1  0.0000 N@0.25  0.0000 | q_w  1.8062/ 1.8062 | unseen 0
